sha,date,chrome,firefox,safari
eea0b54014,2018-08-07,24218.72714434062,21274.87136592931,18851.294852441984
203c34855f,2018-08-18,24300.52911809083,21545.29738394813,18966.847543452597
6aef6676d2,2018-08-19,24308.96515998549,21555.767027656617,18970.7352418653
0398567bac,2018-08-21,24319.901361800716,21575.400892223948,18972.90054380876
d2fa1bdc90,2018-08-22,24402.98541350461,21581.643947779503,18968.056054606353
f4b8c1ed15,2018-08-23,24488.36181550504,21661.4926343059,19091.98473057781
6a9c5cbeae,2018-08-28,24594.19932866198,21791.939179427445,19004.283091912097
3ede662903,2018-08-29,24623.273069508527,21809.21532619087,19022.644454068857
7078352c08,2018-08-30,24627.561096989237,21819.19931245136,19195.914345108955
1692453d95,2018-08-31,24663.12807996035,21862.644806250904,19240.486289761062
268ce53f61,2018-09-01,24665.67563469146,21866.28449394906,19283.079052248322
3fd70a99bb,2018-09-02,24665.48152071291,21868.37310712432,19276.85465856463
3a58de991a,2018-09-03,24668.85232986829,21870.17208104838,19283.56598030351
04bc9c5667,2018-09-04,24669.154710820676,21870.612000559493,19268.68531388812
7c50c21608,2018-09-05,24643.588668277866,21887.2372962884,19250.502339374707
ddb3e30ef4,2018-09-07,24667.420630048844,21870.31164248297,19321.636464412346
8657903435,2018-09-09,24674.779134784636,21898.589272013527,19323.39312718041
9614def367,2018-09-10,24702.446857396924,21927.139121495675,19344.781289394923
ae06d19752,2018-09-14,24820.23191709414,22094.50465464776,19543.98496787248
1343a173b6,2018-09-15,25147.774177717685,22102.782946031766,19550.37831175671
677dfdd233,2018-09-16,25153.309200565203,22099.758816605634,19561.71769685238
7897f9d5be,2018-09-22,25030.069097800315,22408.43431020817,19601.872892646414
61efc6b606,2018-09-23,25214.26788106477,22419.76876720112,19590.171550562565
5bd512cdc7,2018-09-24,25078.548887760695,22421.953361038653,19586.017544212118
b040cb2a07,2018-09-25,25159.281210993024,22602.044612842397,19588.469350607185
59909759c4,2018-09-26,25288.892796034357,22588.01683506462,19596.815731850813
ee2e69bfb1,2018-10-01,25275.891094380022,22623.371974773436,19597.90879420446
67152fdecd,2018-10-02,25324.27204676098,22473.357205843535,19590.647391924256
245cb5053c,2018-10-11,25445.722595009032,22610.34172210304,19684.128594940594
d647a1bc74,2018-10-12,25447.793302639042,22707.857909347167,19693.295288383288
61720a8cda,2018-10-13,25454.006189484244,22720.550025139306,19690.269791046197
74d709131e,2018-10-14,25456.21403301306,22730.49917040536,19680.444278792365
937ed3c7b1,2018-10-15,25458.72615422518,22729.370632782546,19689.463024241613
99e577f57c,2018-10-16,25275.76970159913,22716.16619566208,19635.638424752575
4f20388538,2018-10-17,25277.558992766615,22844.733495355526,19657.44313132476
5acd3bcf66,2018-10-18,25289.768094686868,22849.446397033527,19651.290894838592
168de7c332,2018-10-19,25333.86119422047,22860.914276871776,19642.264585641205
d44bc3ed38,2018-10-20,25414.190314368287,22863.60122749443,19658.50356850754
