sha,date,chrome,firefox,safari
eea0b54014,2018-08-07,585.8537313031288,1680.0930890205457,2704.863421966945
203c34855f,2018-08-18,601.5643123054147,1575.5761129829375,2763.109131313134
6aef6676d2,2018-08-19,604.5734879488926,1570.954684411509,2762.466742734959
0398567bac,2018-08-21,605.5785104582347,1566.7759695429274,2765.4493164773503
d2fa1bdc90,2018-08-22,603.3626869772372,1574.7272493465741,2767.044461704756
f4b8c1ed15,2018-08-23,603.356039997173,1578.5852050152969,2772.8124623897033
6a9c5cbeae,2018-08-28,611.4983294520682,1586.7189496722062,2757.8538673556545
3ede662903,2018-08-29,609.3065258509623,1583.3306645074767,2761.0445847767937
7078352c08,2018-08-30,576.3476902587557,1576.9391973902877,2774.2051826185643
1692453d95,2018-08-31,574.2483082762848,1585.9324297333928,2778.603480315195
268ce53f61,2018-09-01,580.3540329542571,1591.790763066726,2775.220620108711
3fd70a99bb,2018-09-02,581.7694907467824,1575.1343463964809,2772.8827032578624
3a58de991a,2018-09-03,581.6927230700147,1578.1295844917186,2776.9366329688996
04bc9c5667,2018-09-04,581.4079354824748,1578.9510130631472,2780.4539714917423
7c50c21608,2018-09-05,590.2367051691949,1594.4330385241344,2772.1862410951107
ddb3e30ef4,2018-09-07,593.1412142467459,1581.5955056566934,2763.543092997648
8657903435,2018-09-09,592.5591107268937,1595.1149949552168,2773.429352456764
9614def367,2018-09-10,593.8552114353263,1593.2108482178521,2771.573807305453
ae06d19752,2018-09-14,721.2733265566396,1596.7607973483125,2779.912571109556
1343a173b6,2018-09-15,574.1827838053991,1637.3571370583134,2799.988530492667
677dfdd233,2018-09-16,574.3046350454522,1633.11222655811,2804.659681075016
7897f9d5be,2018-09-22,778.1126412517477,1368.4246593999803,2674.190197367516
61efc6b606,2018-09-23,645.6065072930368,1375.8454233102118,2706.561946756626
5bd512cdc7,2018-09-24,746.424403378439,1395.3487073824613,2696.2662579878765
b040cb2a07,2018-09-25,713.1952262689991,1337.8025313362853,2791.073100112574
59909759c4,2018-09-26,648.8698294436024,1366.933086891841,2811.272078736541
ee2e69bfb1,2018-10-01,687.79790106776,1352.7887352814646,2855.4411026641146
67152fdecd,2018-10-02,641.7828217026805,1378.260616034811,2735.6288647003307
245cb5053c,2018-10-11,623.7499008301122,1405.6741773005456,2796.4428714900964
d647a1bc74,2018-10-12,585.6380258568304,1282.4311349223037,2863.0525062761776
61720a8cda,2018-10-13,584.7179364828597,1296.1177119605989,2867.617987481255
74d709131e,2018-10-14,588.3482486615485,1291.3503245358058,2866.660448106281
937ed3c7b1,2018-10-15,585.147881856109,1285.6874901457695,2864.8903352048987
99e577f57c,2018-10-16,581.779547786802,1278.5270790855984,2844.4029943193086
4f20388538,2018-10-17,582.6577784007558,1177.2832381137182,2865.3934665198385
5acd3bcf66,2018-10-18,574.2585518266943,1169.4732157466658,2870.4181434402158
168de7c332,2018-10-19,571.4279600170761,1182.2351541662438,2878.56643981909
d44bc3ed38,2018-10-20,569.9428068611562,1185.1177103256057,2873.486514422908
3dbc08a982,2018-10-22,568.1153946777847,1183.4263848537862,2876.040170918534
f3e2b41349,2018-10-24,571.1939015502077,1179.5991133094221,2909.439437638403
09a1d43536,2018-10-25,570.8761995126495,1172.1868147611012,2900.6012575480436
f5832ccdb3,2018-10-26,568.195100841064,1172.0617149827146,2907.1688789171308
b622fea47d,2018-10-27,564.5948810134846,1171.5940397228546,2905.8155074092933
71c05e7131,2018-10-28,565.4626124205887,1173.2242658298558,2905.15605284211
0cc29e423f,2018-10-30,564.2717325742772,1169.3859414724398,2909.7343322945603
75b0f336c5,2018-10-31,562.7200430451151,1176.143824385906,2927.545956566472
8295368c82,2018-11-01,561.5107261143596,1170.1453395374213,2930.232398787055
71fe0a6c3d,2018-11-07,566.0815985242604,1164.6777091000483,2932.151681792105
349d418380,2018-11-08,564.808710084271,1159.9027518962766,2936.4096709587643
a516e7edca,2018-11-09,567.2964802042557,1102.0196462000729,2938.232792857227
a0610cf468,2018-11-10,566.3520738380089,1108.8986246310278,2943.737326803774
7201104211,2018-11-14,569.1821922344623,1116.708726383322,2944.727829937377
6856483bcc,2018-11-15,572.0510996205385,1121.218529388894,2943.011197631571
b4c61af0f4,2018-11-16,577.481535100036,1112.7489571201124,2948.1609071588764
c1faeb4eb5,2018-11-20,573.894228136156,1116.7525725058456,2954.7375490934214
e340f910d3,2018-11-21,572.9498471388573,1117.419239172512,3057.7894464558767
fe0e2ce1f3,2018-11-22,572.5770037986226,1121.5914613947343,3063.9441804646617
1f92ddd122,2018-11-23,578.1302965913657,1112.881930293817,3063.960716455911
40e50ecff7,2018-11-24,575.4571037535337,1124.3591384002902,3068.6000931729354
732cc9161d,2018-11-25,577.6924889683648,1122.2877098288616,3065.2301863943653
e94ae4b34e,2018-11-26,574.7810589090388,1117.9899607867162,3066.2000610580494
58523789a0,2018-11-27,578.0483579464816,1116.4560682248516,3063.9864367296836
09972ca7bd,2018-11-28,596.3827457063738,1131.8681703593718,3079.358973631757
38ba0516aa,2018-11-29,598.9171354124472,1129.5506592429326,3070.2289205128377
00942a1ab7,2018-11-30,596.6658841377334,1132.1642557341606,3080.539761561796
d50692144c,2018-12-01,600.7539683774195,1131.2807087256135,3078.476495860712
ef72a20e3d,2018-12-04,597.3524327991902,1128.6179418947434,3084.558595160347
614fd870e4,2018-12-05,601.4191410530037,1143.4294602740247,3082.957624942796
093a97b6ec,2018-12-06,600.5400462742333,1166.90926770326,3036.8449284691183
ffcb833670,2018-12-07,600.8065043330827,1170.4436620445508,3040.415839262866
5349c6a632,2018-12-09,598.5557885594711,1172.8180668064556,3042.692652350952
48d5d5033d,2018-12-12,609.7005909112723,1214.061493408704,3079.6594584505206
4052654d78,2018-12-13,608.5339242446058,1207.7488560460667,3080.059322480888
4094d6ae8b,2018-12-16,599.0422816797095,1212.6077411461283,3088.9786626487457
11971ac216,2018-12-17,600.7565673939949,1197.96119407084,3089.572481570022
38c37851c8,2018-12-19,600.4819493183314,1200.6911041943893,3095.3269144645874
e751708440,2018-12-23,605.2636006944783,1208.7919042619217,3088.7903997136295
e751708440,2018-12-24,607.177886408764,1203.5170891902621,3088.4920547021
a357943a20,2018-12-25,606.4403448805248,1202.9898664130392,3092.286363176913
4dbc8a0d7b,2018-12-30,613.3315848842018,1217.7349213580942,3146.1028823800198
75bc93d7d9,2019-01-01,613.4347594873764,1208.3940122671852,3150.9944349493217
2e3e80c3b4,2019-01-02,613.3083290702483,1208.3899829631555,3148.422885670894
4e6563687b,2019-01-03,612.3315848842018,1214.1294268525996,3149.4956656519257
71e901cf45,2019-01-04,615.1315848842017,1210.8572656804383,3148.0217418800435
9c5701192b,2019-01-29,590.09564235196,879.6480119127156,3514.2764925140295
4139dfe3c5,2019-01-30,576.7365458928634,924.8254390879378,3513.9120097940313
09c7c724f7,2019-01-31,581.9123868714566,923.1503226291226,3524.364263094338
b0020d5df1,2019-02-01,581.2618034905615,940.6618060002821,3518.82430724245
78c1544715,2019-02-02,575.7103787241472,940.3100153995786,3549.168652096809
18c828feb8,2019-02-03,575.5103787241472,942.8177914746226,3544.238421261563
b879d5c7d8,2019-02-04,574.8437120574805,941.8183487329118,3534.550621199647
99b96dc056,2019-02-05,578.5456765005428,938.2854982029227,3531.6103613516207
9830c5ab11,2019-02-06,581.6384389878006,942.2725633977199,3544.6575163356333
156d195398,2019-02-07,580.5719101516265,944.5866207209248,3538.9000525833685
7d5d8b89ab,2019-02-08,584.598975686625,949.6784363008246,3516.366281072202
345300fad3,2019-02-09,583.6612544532967,950.6197181499014,3512.744117056402
48b9be82df,2019-02-10,583.531095723138,946.0805433627004,3521.9251041892817
a01ac89be3,2019-02-11,583.1402928556944,950.8678879980083,3517.788694810471
88cb9e7462,2019-02-12,583.4611925151039,953.2477612665951,3515.152397928377
d1f77cdd37,2019-02-13,571.1886232391577,953.6454370263388,3520.5667774085787
85614961e6,2019-02-14,569.7034089284978,951.7586864160071,3522.262319799957
14b470e2e0,2019-02-15,580.5320051663253,917.7275474223284,3541.141031251835
2bed10ac31,2019-02-16,570.8568863484647,954.7394943805988,3520.811122045764
d5f07ed3b5,2019-02-18,576.65987934171,958.1768864606406,3601.388643179166
34e6ee21a6,2019-02-19,580.5681195748685,957.9846050473067,3611.4299136721997
7266a4200f,2019-02-20,586.9361842329487,959.0231976458825,3615.8928665997955
493fdc7e79,2019-02-21,585.8270405981398,964.0839317741954,3607.4224543679784
