sha,date,chrome,firefox,safari
27406c9d23,2018-07-01,21873.323559985292,20745.310320831868,16503.21555702289
6e559a60ec,2018-07-04,21883.90968172857,20758.607043880413,16514.030862144984
6562ed003e,2018-07-05,21891.180148489144,20765.751621779065,16500.214459891657
9f00a60d91,2018-07-06,21894.649106180434,20769.096710980757,16516.461439648938
15224088a2,2018-07-07,21896.195174215118,20775.550666678653,16522.32142565092
7400064b74,2018-07-08,21902.024833448253,20780.9951111231,16514.853140401905
172489943d,2018-07-09,21900.28748505144,20772.127055567544,16520.099807325427
d423033c8b,2018-07-10,21900.447857958425,20774.482926436653,16525.29964443152
8fea122cf1,2018-07-11,21904.403906843516,20787.206718073518,16522.94666663925
b7f4f1d1ea,2018-07-12,21926.68707956689,20798.95254451409,16542.55351822059
9e4a93afa6,2018-07-13,21939.746738224436,20810.981944884195,16553.86831347486
255adeaa04,2018-07-14,21932.79494259798,20800.349405201654,16552.671176763983
59fa23d519,2018-07-15,21939.473537192378,20817.021429011173,16556.169825741807
f582e7ad3b,2018-07-16,21936.118927263302,20811.553714745798,16554.013773731127
df53924443,2018-07-17,21941.10834570423,20814.373086455027,16558.307762822078
085d47ef10,2018-07-18,21943.856911707633,20817.257411851853,16556.160357907862
9967127548,2018-07-19,21945.16851164476,20820.425233787024,16553.969595970757
013e509d9a,2018-07-20,21947.3019126165,20826.06572907605,16573.585148231752
20f298166a,2018-07-21,21957.344453035916,20831.171436089335,16575.741488995656
36711c4fba,2018-07-22,21957.445738367118,20835.15059088594,16567.533981303397
a30e3abe5d,2018-07-23,21959.46786522076,20836.66170199705,16573.786626012166
f9cb1ddc13,2018-07-25,21915.30430891279,20857.064327775537,16574.247551276287
c54b451185,2018-07-26,21915.116417047957,20859.101183107297,16571.222168960143
a71bbf196f,2018-07-27,21917.488509118968,20859.298959772485,16565.154364104394
ba4921d054,2018-07-28,21917.546745644493,20860.911398722423,16577.573870656695
ba4921d054,2018-07-29,21918.947313826313,20867.86780897883,16580.468854496463
d892efb842,2018-07-30,21918.40828775785,20866.375767889924,16567.295728036504
8b48137d39,2018-07-31,21922.336470720908,20874.23395178824,16577.137070395704
4a15e98c13,2018-08-02,21920.155994288292,20861.90502645284,16570.894426083247
f6a31bd955,2018-08-03,21932.306019856333,20883.773413105835,16593.81495796873
399997d1f1,2018-08-04,21936.649715077972,20887.688091917153,16588.791937818216
a722b94497,2018-08-05,21936.162116015745,20883.6623835819,16590.17443242318
edb72456b7,2018-08-06,21963.09101807947,20894.168412275423,16584.390130620766
eea0b54014,2018-08-07,21985.363392758325,20913.32481421188,16592.769314419977
c0a1bc68d7,2018-08-16,22051.07765736738,20962.006792717482,16660.025024485352
203c34855f,2018-08-18,22061.325193982906,20972.026612787515,16655.18009603562
6aef6676d2,2018-08-19,22061.71954555332,20977.38594261737,16651.461835391867
268ce53f61,2018-09-01,22344.858100561465,21254.420305478416,16924.146435040744
3fd70a99bb,2018-09-02,22347.04607923186,21252.489748934495,16918.78852789709
3a58de991a,2018-09-03,22349.297253152967,21252.33114542217,16921.977717170394
5051858e95,2018-09-16,24190.239836358047,21581.325695372394,17009.32902119161
7897f9d5be,2018-09-22,24383.93794860677,21856.15462629394,17052.474281191022
5d58e091e7,2018-09-23,24389.398801058083,21850.925721543474,17030.786406839165
61efc6b606,2018-09-24,24381.941066853295,21821.48042708701,17043.47934979154
b040cb2a07,2018-09-25,24397.844827553334,22030.636348614964,17033.18057381092
59909759c4,2018-09-26,24406.453160886667,22020.091670743815,17046.476071410478
062aedcf81,2018-09-27,24402.75572498923,22014.690423097858,17054.510152847673
a6e260769e,2018-09-28,24401.17966678817,22034.183280240715,17064.82835311544
138337bf93,2018-09-29,24262.26991450343,21652.00636276113,17065.916869986944
2df7f9ff62,2018-09-30,24261.087924618805,22020.616669678366,17058.9926055362
ee2e69bfb1,2018-10-01,24411.95383158765,22038.353107586863,17061.642430837433
67152fdecd,2018-10-02,24278.12869320694,21660.946252549704,17076.842397438955
fec3928f35,2018-10-03,24411.937602475053,21889.233152176766,17075.908955889772
e201d802a5,2018-10-04,24439.349501305336,21894.074294488208,17077.880709220084
b4c8ec5a1c,2018-10-05,24451.23623761887,21905.633778008963,17072.129166027662
c09b8005b2,2018-10-06,24446.96445190527,21961.420578848698,17089.804482407948
245cb5053c,2018-10-11,24373.54991236395,21707.974074876056,19467.180972743103
d647a1bc74,2018-10-12,24374.007818346858,21705.702737879714,19456.203597204996
61720a8cda,2018-10-13,24388.622249687112,22028.67923940149,19486.8897999065
74d709131e,2018-10-14,24390.42561386679,22034.68105226879,19471.49115921386
937ed3c7b1,2018-10-15,24386.6635342359,21716.439233773075,19472.80641924537
99e577f57c,2018-10-16,24257.824487405305,22020.901453469374,19433.745270092408
