sha,date,chrome,firefox,safari
27406c9d23,2018-07-01,400.5860548624447,1515.8135376661114,2937.3114943287956
6e559a60ec,2018-07-04,401.3082323739453,1514.9601094967431,2939.062338877722
6562ed003e,2018-07-05,401.48825642652224,1520.6069238486339,2932.952179295537
9f00a60d91,2018-07-06,402.19155675655526,1521.4853352532011,2927.451311738005
15224088a2,2018-07-07,403.68660573429645,1515.5151151568025,2935.658461102496
7400064b74,2018-07-08,401.12158975985557,1515.2893907686218,2932.329605232173
172489943d,2018-07-09,402.0549230931889,1514.333145990009,2937.385840465809
d423033c8b,2018-07-10,401.4043018545944,1523.0438041977047,2931.1253468393006
8fea122cf1,2018-07-11,402.13260950449205,1516.1031253777262,2929.798616600521
b7f4f1d1ea,2018-07-12,403.19581135183336,1522.5207298415924,2927.1933770160704
9e4a93afa6,2018-07-13,400.18938840184603,1523.388940591239,2929.2012650103634
255adeaa04,2018-07-14,404.8009268633845,1517.7542615022119,2934.243722673473
59fa23d519,2018-07-15,400.2624780185,1513.1864044447668,2931.61814746784
f582e7ad3b,2018-07-16,401.9124780185,1522.2760869844494,2939.0965357462283
df53924443,2018-07-17,399.06759225936884,1519.8187161884491,2928.6825554446864
085d47ef10,2018-07-18,402.4793842426474,1517.1945122472603,2930.1463878275154
9967127548,2018-07-19,402.6668670895173,1516.7470495198327,2936.703821250496
013e509d9a,2018-07-20,406.046569532605,1515.871288759498,2926.0001365590697
20f298166a,2018-07-21,411.9735065769955,1524.7567602653435,2928.582576826262
36711c4fba,2018-07-22,407.55353958029576,1516.8148718632915,2931.780310895504
a30e3abe5d,2018-07-23,409.80403410259146,1523.0746620264702,2930.656576226263
f9cb1ddc13,2018-07-25,483.14447415007396,1506.088419706389,2945.0845804573983
c54b451185,2018-07-26,487.20368342072686,1507.3116301865507,2950.095383152349
a71bbf196f,2018-07-27,486.9937829578372,1501.5733730225368,2945.857682058103
ba4921d054,2018-07-28,484.7365222317645,1504.0802388876946,2944.321703927323
ba4921d054,2018-07-29,485.32711629117046,1506.4900396892035,2940.7201415792574
d892efb842,2018-07-30,488.0292615056919,1521.7386093129196,2945.625398390435
8b48137d39,2018-07-31,489.7721191336836,1506.6064630524302,2941.970836886514
4a15e98c13,2018-08-02,489.75245324610023,1506.798920045074,2951.2194871957063
f6a31bd955,2018-08-03,486.79952850010045,1510.8063942988476,2951.5484279711427
399997d1f1,2018-08-04,484.99787780787466,1504.621780341163,2961.378734207972
a722b94497,2018-08-05,487.9361621634668,1502.362246181028,2958.3684139811517
edb72456b7,2018-08-06,489.6922677740278,1513.8883541489677,2963.864066584353
eea0b54014,2018-08-07,488.0256011073611,1514.3877541347204,2975.019938143593
c0a1bc68d7,2018-08-16,494.53010508717085,1519.2482913251617,2980.371740501913
203c34855f,2018-08-18,493.7520522818903,1514.478788592049,2968.5782153232603
6aef6676d2,2018-08-19,495.55312551611337,1521.700203873398,2977.241819775811
268ce53f61,2018-09-01,504.08075106299043,1539.6981106454243,2980.08191466896
3fd70a99bb,2018-09-02,502.67491879637794,1538.0309894089194,2989.4551245513885
3a58de991a,2018-09-03,502.12871941453506,1539.366615672047,2989.6480198366944
5051858e95,2018-09-16,533.9273510472588,1545.9008522460122,3037.453549317615
7897f9d5be,2018-09-22,517.9402228598833,1294.8086690129837,2982.217394886032
5d58e091e7,2018-09-23,515.1267862489705,1298.852632174828,2993.5806160792577
61efc6b606,2018-09-24,513.8474482118031,1320.1539572269994,2984.142547826112
b040cb2a07,2018-09-25,525.4030334233776,1267.5274148819751,3113.5432829779547
59909759c4,2018-09-26,521.0844531708569,1282.5799768768968,3113.763617521729
